Name	x'	y'	z'
1	0.407	0.198	5.715
2	1.906	0.013	5.441
3	4.503	0.028	5.990
4	4.708	0.195	5.712
5	6.247	0.025	5.891
6	9.051	0.198	6.136
7	10.590	0.034	5.784
8	0.000	0.000	0.000
9	1.633	0.175	0.159
10	3.986	0.000	-0.446
11	5.960	0.173	0.256
12	9.114	0.167	0.322
13	10.905	0.000	-0.218
14	12.663	-0.197	-0.146
15	15.299	2.066	-0.737
16	-4.578	2.051	-0.743
17	-4.229	1.998	7.438
18	-4.321	2.153	3.645
19	15.064	2.180	3.598
20	15.016	2.139	7.066
21	12.207	-0.131	8.174
22	-1.475	-0.126	8.195
24	1.145	0.030	8.465
25	5.485	0.022	8.463
26	9.814	0.035	8.446
27	10.106	0.018	2.886
28	4.921	0.009	2.854
29	0.600	0.014	2.874
30	1.725	0.029	-1.459
31	4.597	-0.030	-1.452
32	10.444	-0.016	-1.455
33	14.717	1.644	-1.452
36	-3.995	1.618	-1.454
37	0.341	-0.028	4.438
38	6.060	-0.027	4.426
41	10.423	0.001	4.497
